"=== КЛАВИШИ ==="	""
"--- Глобальные ---"	""
Ctrl-B	"Построить глобальный файл перевода из умолчания и папки для импорта"
Ctrl-E	"Экспорт"
Ctrl-F	"Изменить шрифт"
Ctrl-N	"Показать дерево папок для создания проекта"
Ctrl-O	"Открыть проект"
Ctrl-S	"Сохранить проект"
Shift-Ctrl-S	"Сохранить проект как..."
Alt-H	"Окно заметок"
Alt-F4	"Выход из программы"
Ctrl-F4	"Закрыть окно проекта"
Ctrl-Tab	"Следующее окно"
Shift-Ctrl-Tab	"Предыдущее окно"
"Alt-0..Alt-9"	"Перейти к окну №0-9"
"--- Проект ---"	""
Ctrl-A	"Выбрать весь столбец оригинального текста"
Ctrl-I	"Импорт из буфера обмена"
Ctrl-R	"Вызвать диалог замены"
Ctrl-T	"Перевести текущую строку с помощью Яндекс-переводчика"
Alt-F	"Переключить режим фильтра/поиска"
Alt-I	"Импорт файла"
Alt-N	"Переключить показ имён файлов с путями/без"
Alt-R	"Переключить показ переведённых строк"
Alt-S	"Открыть исходный файл с выбранной строкой"
Alt-Del	"Установить перевод без информации о цвете"
Alt-Right	"Искать дальше"
Del	"Удалить переведённый текст/выделенные строки"
"--- Ячейка ---"	""
Alt-C	"Вставить цвет из оригинального текста"
Alt-N	"вставить \n (новая строка)"
Alt-U	"Вставить |u (конец окрашенного текста)"
Alt-V	"Вставить параметры такие как <STAT1>, [TIME] или [[KB:SkillMenu]]"
Alt-Del	"Удалить информацию о цвете"
"--- Окно редактора ---"	""
Alt-Left	"Предыдущая строка"
Alt-Right	"Следующая строка"
Alt-Up	"Предыдущая непереведённая строка"
Alt-Down	"Следующая непереведённая строка"
Alt-P	"Пометить/снять пометку о неполном переводе"
Alt-S	"Показать/скрыть исходник автоматического перевода"
Alt-T	"Перевести выбранный текст с помощью Яндекса"
"=== ПЕРЕВОДЫ ==="	""
dash	рывок
ember	эмберит
ethereal	призрачный
"Map (L###)"	"Карта (###)"
"nether imp"	Бес
proc	срабатывание
slam	"хлопок, удар"
Paragon	"совершенный, образцовый"
Cooldown	"Время между активациями, Время активации, пользов=откат"
minion	"помощник, слуга"
cast	"применить, сотворить заклинание, (послать)"
caster	заклинатель
pass	"передать, перевал"
bolt	заряд
missile	снаряд
